family,case,metric,method,reported_mean,reported_std,winner_probability,rank_entropy
NS,2d-C,L2RE,PINN-w,0.145,0.0121,0.0,0.2897785334754546
NS,2d-C,L2RE,NTK,0.198,0.026,0.0,0.2897785334754546
NS,2d-C,L2RE,RAR,0.469,0.0116,0.0,0.2897785334754546
NS,2d-C,L2RE,MultiAdam,0.727,0.195,0.0,0.2897785334754546
NS,2d-C,L2RE,gPINN,0.077,0.00299,0.0,0.2897785334754546
NS,2d-C,L2RE,vPINN,0.292,0.0824,0.0,0.2897785334754546
NS,2d-CG,L2RE,LAAF,0.0824,0.00821,0.95465,0.07769004064547136
NS,2d-CG,L2RE,GAAF,0.174,0.07,0.04507,0.07769004064547136
NS,2d-CG,L2RE,PINN,0.119,0.00546,0.00028,0.07769004064547136
NS,2d-CG,L2RE,PINN-w,0.326,0.00769,0.0,0.07769004064547136
NS,2d-CG,L2RE,LRA,0.332,0.0076,0.0,0.07769004064547136
NS,2d-CG,L2RE,NTK,0.293,0.0202,0.0,0.07769004064547136
NS,2d-CG,L2RE,RAR,0.334,0.000652,0.0,0.07769004064547136
NS,2d-CG,L2RE,MultiAdam,0.431,0.0695,0.0,0.07769004064547136
NS,2d-CG,L2RE,gPINN,0.154,0.00589,0.0,0.07769004064547136
NS,2d-CG,L2RE,vPINN,0.994,0.0038,0.0,0.07769004064547136
NS,2d-CG,L2RE,FBPINN,8.27,3.68e-05,0.0,0.07769004064547136
NS,2d-LT,L2RE,gPINN,0.995,0.000719,0.61721,0.4025173930483797
NS,2d-LT,L2RE,PINN,0.996,0.00119,0.19486,0.4025173930483797
NS,2d-LT,L2RE,LAAF,0.998,0.00342,0.18005,0.4025173930483797
NS,2d-LT,L2RE,FBPINN,1.0,0.00207,0.0074,0.4025173930483797
NS,2d-LT,L2RE,GAAF,0.999,0.0011,0.00048,0.4025173930483797
NS,2d-LT,L2RE,PINN-w,1.0,0.000334,0.0,0.4025173930483797
NS,2d-LT,L2RE,LRA,1.0,0.000405,0.0,0.4025173930483797
NS,2d-LT,L2RE,NTK,0.999,0.000604,0.0,0.4025173930483797
NS,2d-LT,L2RE,RAR,1.0,0.000335,0.0,0.4025173930483797
NS,2d-LT,L2RE,MultiAdam,1.0,0.000219,0.0,0.4025173930483797
NS,2d-LT,L2RE,vPINN,1.73,1e-05,0.0,0.4025173930483797
Poisson,2d-C,L2RE,NTK,0.0123,0.00737,0.90814,0.15862806986218733
Poisson,2d-C,L2RE,MultiAdam,0.0263,0.00657,0.06323,0.15862806986218733
Poisson,2d-C,L2RE,LRA,0.117,0.126,0.02217,0.15862806986218733
Poisson,2d-C,L2RE,PINN-w,0.0349,0.00691,0.00614,0.15862806986218733
Poisson,2d-C,L2RE,FBPINN,0.0449,0.00791,0.00032,0.15862806986218733
Poisson,2d-C,L2RE,PINN,0.694,0.00878,0.0,0.15862806986218733
Poisson,2d-C,L2RE,RAR,0.699,0.00746,0.0,0.15862806986218733
Poisson,2d-C,L2RE,gPINN,0.687,0.0187,0.0,0.15862806986218733
Poisson,2d-C,L2RE,vPINN,0.491,0.0155,0.0,0.15862806986218733
Poisson,2d-C,L2RE,LAAF,0.768,0.047,0.0,0.15862806986218733
Poisson,2d-C,L2RE,GAAF,0.604,0.0752,0.0,0.15862806986218733
Poisson,2d-CG,L2RE,NTK,0.0143,0.00431,0.98914,0.02543588318328682
Poisson,2d-CG,L2RE,FBPINN,0.029,0.00392,0.01064,0.02543588318328682
Poisson,2d-CG,L2RE,LRA,0.0434,0.00795,0.00022,0.02543588318328682
Poisson,2d-CG,L2RE,PINN,0.636,0.00257,0.0,0.02543588318328682
Poisson,2d-CG,L2RE,PINN-w,0.0608,0.00488,0.0,0.02543588318328682
Poisson,2d-CG,L2RE,RAR,0.648,0.00787,0.0,0.02543588318328682
Poisson,2d-CG,L2RE,MultiAdam,0.276,0.103,0.0,0.02543588318328682
Poisson,2d-CG,L2RE,gPINN,0.792,0.00456,0.0,0.02543588318328682
Poisson,2d-CG,L2RE,vPINN,0.286,0.002,0.0,0.02543588318328682
Poisson,2d-CG,L2RE,LAAF,0.48,0.0143,0.0,0.02543588318328682
Poisson,2d-CG,L2RE,GAAF,0.871,0.267,0.0,0.02543588318328682
Poisson,2d-MS,L2RE,LAAF,0.593,0.118,0.4963,0.44533854511550514
Poisson,2d-MS,L2RE,MultiAdam,0.59,0.0406,0.37736,0.44533854511550514
Poisson,2d-MS,L2RE,gPINN,0.616,0.0174,0.09614,0.44533854511550514
Poisson,2d-MS,L2RE,PINN,0.63,0.0107,0.01712,0.44533854511550514
Poisson,2d-MS,L2RE,RAR,0.644,0.0213,0.01291,0.44533854511550514
Poisson,2d-MS,L2RE,LRA,0.794,0.0651,0.00017,0.44533854511550514
Poisson,2d-MS,L2RE,PINN-w,0.76,0.00696,0.0,0.44533854511550514
Poisson,2d-MS,L2RE,NTK,0.748,0.00994,0.0,0.44533854511550514
Poisson,2d-MS,L2RE,vPINN,0.972,0.0223,0.0,0.44533854511550514
Poisson,2d-MS,L2RE,GAAF,0.931,0.0712,0.0,0.44533854511550514
Poisson,2d-MS,L2RE,FBPINN,1.04,6.13e-05,0.0,0.44533854511550514
Poisson,3d-CG,L2RE,LRA,0.102,0.0316,0.99979,0.000829203262850505
Poisson,3d-CG,L2RE,MultiAdam,0.363,0.0781,0.00021,0.000829203262850505
Poisson,3d-CG,L2RE,PINN,0.56,0.0284,0.0,0.000829203262850505
Poisson,3d-CG,L2RE,PINN-w,0.374,0.0323,0.0,0.000829203262850505
Poisson,3d-CG,L2RE,NTK,0.947,0.000494,0.0,0.000829203262850505
