family,case,method,appendix_table,main_table,absolute_gap,relative_gap,consistent
Poisson,3d-CG,PINN,0.56,0.56,0.0,0.0,True
Poisson,3d-CG,PINN-w,0.374,0.374,0.0,0.0,True
Poisson,3d-CG,RAR,0.576,0.576,0.0,0.0,True
Poisson,3d-CG,gPINN,0.485,0.485,0.0,0.0,True
Poisson,3d-CG,vPINN,0.738,0.738,0.0,0.0,True
Wave,1d-C,FBPINN,0.591,0.591,0.0,0.0,True
Wave,1d-C,GAAF,0.677,0.677,0.0,0.0,True
Wave,1d-C,LAAF,0.454,0.454,0.0,0.0,True
Wave,1d-C,LRA,0.361,0.361,0.0,0.0,True
Wave,1d-C,MultiAdam,0.121,0.121,0.0,0.0,True
Wave,1d-C,NTK,0.0979,0.0979,0.0,0.0,True
Wave,1d-C,PINN,0.588,0.588,0.0,0.0,True
Wave,1d-C,PINN-w,0.285,0.285,0.0,0.0,True
Wave,1d-C,RAR,0.539,0.539,0.0,0.0,True
Wave,1d-C,gPINN,0.556,0.556,0.0,0.0,True
Wave,1d-C,vPINN,0.839,0.839,0.0,0.0,True
Wave,2d-CG,FBPINN,1.06,1.06,0.0,0.0,True
Wave,2d-CG,GAAF,0.794,0.794,0.0,0.0,True
Wave,2d-CG,LAAF,0.819,0.819,0.0,0.0,True
Wave,2d-CG,LRA,1.48,1.48,0.0,0.0,True
Wave,2d-CG,MultiAdam,1.09,1.09,0.0,0.0,True
Wave,2d-CG,NTK,2.16,2.16,0.0,0.0,True
Wave,2d-CG,PINN,1.84,1.84,0.0,0.0,True
Wave,2d-CG,PINN-w,1.66,1.66,0.0,0.0,True
Wave,2d-CG,RAR,1.15,1.15,0.0,0.0,True
Wave,2d-CG,gPINN,0.814,0.814,0.0,0.0,True
Wave,2d-CG,vPINN,0.799,0.799,0.0,0.0,True
Wave,2d-MS,FBPINN,1.03,1.03,0.0,0.0,True
Wave,2d-MS,GAAF,1.06,1.06,0.0,0.0,True
Wave,2d-MS,LAAF,1.06,1.06,0.0,0.0,True
Wave,2d-MS,LRA,1.02,1.02,0.0,0.0,True
Wave,2d-MS,MultiAdam,1.01,1.01,0.0,0.0,True
Wave,2d-MS,NTK,1.04,1.04,0.0,0.0,True
Wave,2d-MS,PINN,1.34,1.34,0.0,0.0,True
Wave,2d-MS,PINN-w,1.02,1.02,0.0,0.0,True
Wave,2d-MS,RAR,1.35,1.35,0.0,0.0,True
Wave,2d-MS,gPINN,1.02,1.02,0.0,0.0,True
Wave,2d-MS,vPINN,0.982,0.982,0.0,0.0,True
