paper,source,metric,family,case,method,mean,std,n_runs
2306.08827v2,main_table,L2RE,Heat,2d-LT,GAAF,0.999,,3
2306.08827v2,main_table,L2RE,Heat,2d-LT,FBPINN,1.01,,3
2306.08827v2,main_table,L2RE,NS,2d-C,PINN,0.047,,3
2306.08827v2,main_table,L2RE,NS,2d-C,PINN-w,0.145,,3
2306.08827v2,main_table,L2RE,NS,2d-C,LBFGS,0.214,,3
2306.08827v2,main_table,L2RE,NS,2d-C,LRA,,,3
2306.08827v2,main_table,L2RE,NS,2d-C,NTK,0.198,,3
2306.08827v2,main_table,L2RE,NS,2d-C,RAR,0.469,,3
2306.08827v2,main_table,L2RE,NS,2d-C,MultiAdam,0.727,,3
2306.08827v2,main_table,L2RE,NS,2d-C,gPINN,0.077,,3
2306.08827v2,main_table,L2RE,NS,2d-C,vPINN,0.292,,3
2306.08827v2,main_table,L2RE,NS,2d-C,LAAF,0.036,,3
2306.08827v2,main_table,L2RE,NS,2d-C,GAAF,0.0379,,3
2306.08827v2,main_table,L2RE,NS,2d-C,FBPINN,0.0845,,3
2306.08827v2,main_table,L2RE,NS,2d-CG,PINN,0.119,,3
2306.08827v2,main_table,L2RE,NS,2d-CG,PINN-w,0.326,,3
2306.08827v2,main_table,L2RE,NS,2d-CG,LBFGS,,,3
2306.08827v2,main_table,L2RE,NS,2d-CG,LRA,0.332,,3
2306.08827v2,main_table,L2RE,NS,2d-CG,NTK,0.293,,3
2306.08827v2,main_table,L2RE,NS,2d-CG,RAR,0.334,,3
2306.08827v2,main_table,L2RE,NS,2d-CG,MultiAdam,0.431,,3
2306.08827v2,main_table,L2RE,NS,2d-CG,gPINN,0.154,,3
2306.08827v2,main_table,L2RE,NS,2d-CG,vPINN,0.994,,3
2306.08827v2,main_table,L2RE,NS,2d-CG,LAAF,0.0824,,3
2306.08827v2,main_table,L2RE,NS,2d-CG,GAAF,0.174,,3
2306.08827v2,main_table,L2RE,NS,2d-CG,FBPINN,8.27,,3
2306.08827v2,main_table,L2RE,NS,2d-LT,PINN,0.996,,3
2306.08827v2,main_table,L2RE,NS,2d-LT,PINN-w,1.0,,3
2306.08827v2,main_table,L2RE,NS,2d-LT,LBFGS,0.97,,3
2306.08827v2,main_table,L2RE,NS,2d-LT,LRA,1.0,,3
2306.08827v2,main_table,L2RE,NS,2d-LT,NTK,0.999,,3
2306.08827v2,main_table,L2RE,NS,2d-LT,RAR,1.0,,3
2306.08827v2,main_table,L2RE,NS,2d-LT,MultiAdam,1.0,,3
2306.08827v2,main_table,L2RE,NS,2d-LT,gPINN,0.995,,3
2306.08827v2,main_table,L2RE,NS,2d-LT,vPINN,1.73,,3
2306.08827v2,main_table,L2RE,NS,2d-LT,LAAF,0.998,,3
2306.08827v2,main_table,L2RE,NS,2d-LT,GAAF,0.999,,3
2306.08827v2,main_table,L2RE,NS,2d-LT,FBPINN,1.0,,3
2306.08827v2,main_table,L2RE,Wave,1d-C,PINN,0.588,,3
2306.08827v2,main_table,L2RE,Wave,1d-C,PINN-w,0.285,,3
2306.08827v2,main_table,L2RE,Wave,1d-C,LBFGS,,,3
2306.08827v2,main_table,L2RE,Wave,1d-C,LRA,0.361,,3
2306.08827v2,main_table,L2RE,Wave,1d-C,NTK,0.0979,,3
2306.08827v2,main_table,L2RE,Wave,1d-C,RAR,0.539,,3
2306.08827v2,main_table,L2RE,Wave,1d-C,MultiAdam,0.121,,3
2306.08827v2,main_table,L2RE,Wave,1d-C,gPINN,0.556,,3
2306.08827v2,main_table,L2RE,Wave,1d-C,vPINN,0.839,,3
2306.08827v2,main_table,L2RE,Wave,1d-C,LAAF,0.454,,3
2306.08827v2,main_table,L2RE,Wave,1d-C,GAAF,0.677,,3
2306.08827v2,main_table,L2RE,Wave,1d-C,FBPINN,0.591,,3
2306.08827v2,main_table,L2RE,Wave,2d-CG,PINN,1.84,,3
2306.08827v2,main_table,L2RE,Wave,2d-CG,PINN-w,1.66,,3
2306.08827v2,main_table,L2RE,Wave,2d-CG,LBFGS,1.33,,3
2306.08827v2,main_table,L2RE,Wave,2d-CG,LRA,1.48,,3
2306.08827v2,main_table,L2RE,Wave,2d-CG,NTK,2.16,,3
2306.08827v2,main_table,L2RE,Wave,2d-CG,RAR,1.15,,3
2306.08827v2,main_table,L2RE,Wave,2d-CG,MultiAdam,1.09,,3
2306.08827v2,main_table,L2RE,Wave,2d-CG,gPINN,0.814,,3
2306.08827v2,main_table,L2RE,Wave,2d-CG,vPINN,0.799,,3
2306.08827v2,main_table,L2RE,Wave,2d-CG,LAAF,0.819,,3
2306.08827v2,main_table,L2RE,Wave,2d-CG,GAAF,0.794,,3
2306.08827v2,main_table,L2RE,Wave,2d-CG,FBPINN,1.06,,3
2306.08827v2,main_table,L2RE,Wave,2d-MS,PINN,1.34,,3
2306.08827v2,main_table,L2RE,Wave,2d-MS,PINN-w,1.02,,3
2306.08827v2,main_table,L2RE,Wave,2d-MS,LBFGS,1.37,,3
2306.08827v2,main_table,L2RE,Wave,2d-MS,LRA,1.02,,3
2306.08827v2,main_table,L2RE,Wave,2d-MS,NTK,1.04,,3
2306.08827v2,main_table,L2RE,Wave,2d-MS,RAR,1.35,,3
2306.08827v2,main_table,L2RE,Wave,2d-MS,MultiAdam,1.01,,3
2306.08827v2,main_table,L2RE,Wave,2d-MS,gPINN,1.02,,3
2306.08827v2,main_table,L2RE,Wave,2d-MS,vPINN,0.982,,3
2306.08827v2,main_table,L2RE,Wave,2d-MS,LAAF,1.06,,3
2306.08827v2,main_table,L2RE,Wave,2d-MS,GAAF,1.06,,3
2306.08827v2,main_table,L2RE,Wave,2d-MS,FBPINN,1.03,,3
2306.08827v2,main_table,L2RE,Chaotic,GS,PINN,0.319,,3
